road,id,model_type,name,lat,lon,length,condition
N1,1000000,sourcesink,N1_start,23.7060278,90.443333,0,
N1,1000001,link,N1_LRPS_LRP008a,23.7060278,90.443333,8011,
N1,1000002,bridge,N1_LRP008a_LRP008b,23.7021111,90.5157778,395.615,1
N1,1000003,link,N1_LRP008b_LRP012a,23.7045833,90.5188327,3316,
N1,1000004,bridge,N1_LRP012a_LRP012b,23.6911108,90.5448886,9.3,0
N1,1000005,link,N1_LRP012b_LRP016b,23.6910552,90.5451386,4471,
N1,1000006,bridge,N1_LRP016b_LRP016c,23.6591111,90.5697216,160,0
N1,1000007,link,N1_LRP016c_LRP017a,23.6583056,90.5709993,429,
N1,1000008,bridge,N1_LRP017a_LRP017b,23.6559722,90.5743327,159.51,2
N1,1000009,link,N1_LRP017b_LRP017c,23.6559167,90.5745271,352,
N1,1000010,bridge,N1_LRP017c_LRP017d,23.6540556,90.5772771,30,0
N1,1000011,link,N1_LRP017d_LRP018a,23.6539167,90.5774993,629,
N1,1000012,bridge,N1_LRP018a_LRP018b,23.6508889,90.5826382,20,1
N1,1000013,link,N1_LRP018b_LRP020b,23.6506944,90.5829993,2438,
N1,1000014,bridge,N1_LRP020b_LRP020c,23.6341108,90.5970274,10.4,1
N1,1000015,link,N1_LRP020c_LRP022a,23.6335552,90.5976941,1323,
N1,1000016,bridge,N1_LRP022a_LRP022b,23.6242216,90.6055278,5.5,1
N1,1000017,link,N1_LRP022b_LRP022c,23.6224993,90.6066944,259,
N1,1000018,bridge,N1_LRP022c_LRP022d,23.6204716,90.6079722,122,0
N1,1000019,link,N1_LRP022d_LRP028a,23.6195271,90.6085833,5294,
N1,1000020,bridge,N1_LRP028a_LRP028b,23.5825827,90.6381386,168.375,0
N1,1000021,link,N1_LRP028b_LRP029a,23.577916,90.6419719,743,
N1,1000022,bridge,N1_LRP029a_LRP029b,23.572166,90.6451108,29,0
N1,1000023,link,N1_LRP029b_LRP030a,23.5718327,90.6453052,1014,
N1,1000024,bridge,N1_LRP030a_LRP030b,23.5639167,90.6501944,34.7,0
N1,1000025,link,N1_LRP030b_LRP030c,23.5636944,90.6504722,532,
N1,1000026,bridge,N1_LRP030c_LRP030d,23.5604167,90.6542222,38,0
N1,1000027,link,N1_LRP030d_LRP031b,23.5602222,90.6545,613,
N1,1000028,bridge,N1_LRP031b_LRP031c,23.5564444,90.6588611,40,0
N1,1000029,link,N1_LRP031c_LRP033a,23.5562222,90.6591389,1443,
N1,1000030,bridge,N1_LRP033a_LRP033b,23.5474163,90.6694438,9.1,0
N1,1000031,link,N1_LRP033b_LRP035a,23.5469441,90.6699993,1733,
N1,1000032,bridge,N1_LRP035a_LRP035b,23.536083,90.6821382,9.5,0
N1,1000033,link,N1_LRP035b_LRP038d,23.5358608,90.6823604,3862,
N1,1000034,bridge,N1_LRP038d_LRP038e,23.5315271,90.7173604,17,0
N1,1000035,link,N1_LRP038e_LRP042a,23.5315827,90.7176104,3668,
N1,1000036,bridge,N1_LRP042a_LRP042b,23.5293882,90.7514167,17,0
N1,1000037,link,N1_LRP042b_LRP048a,23.5293882,90.7515833,5427,
N1,1000038,bridge,N1_LRP048a_LRP048b,23.5308882,90.8041389,20,0
N1,1000039,link,N1_LRP048b_LRP050a,23.530916,90.8043611,2171,
N1,1000040,bridge,N1_LRP050a_LRP050b,23.5346663,90.8249716,16,0
N1,1000041,link,N1_LRP050b_LRP056a,23.5347219,90.8251104,5454,
N1,1000042,bridge,N1_LRP056a_LRP056b,23.5133056,90.8703049,28.9,2
N1,1000043,link,N1_LRP056b_LRP072a,23.5131111,90.8706382,15152,
N1,1000044,bridge,N1_LRP072a_LRP072b,23.4890552,91.0120278,22.825,2
N1,1000045,link,N1_LRP072b_LRP089a,23.4889441,91.01225,16575,
N1,1000046,bridge,N1_LRP089a_LRP089b,23.448833,91.1471386,24,0
N1,1000047,link,N1_LRP089b_LRP093a,23.4486386,91.1472497,3365,
N1,1000048,bridge,N1_LRP093a_LRP093b,23.4235827,91.1629722,37,0
N1,1000049,link,N1_LRP093b_LRP095a,23.423416,91.1632778,2074,
N1,1000050,bridge,N1_LRP095a_LRP095b,23.4131111,91.1846663,28,0
N1,1000051,link,N1_LRP095b_LRP099a,23.4130556,91.1849163,3685,
N1,1000052,bridge,N1_LRP099a_LRP099b,23.40375,91.2176382,29,0
N1,1000053,link,N1_LRP099b_LRP102a,23.4035556,91.2178049,3697,
N1,1000054,bridge,N1_LRP102a_LRP102b,23.3779716,91.2403608,30,0
N1,1000055,link,N1_LRP102b_LRP105a,23.3777493,91.2405274,2513,
N1,1000056,bridge,N1_LRP105a_LRP105b,23.3586389,91.25325,14.3,0
N1,1000057,link,N1_LRP105b_LRP108a,23.3584444,91.2533333,3054,
N1,1000058,bridge,N1_LRP108a_LRP108b,23.3360274,91.2700549,44,0
N1,1000059,link,N1_LRP108b_LRP110a,23.3357219,91.2703049,1585,
N1,1000060,bridge,N1_LRP110a_LRP110b,23.324166,91.2791104,19.2,1
N1,1000061,link,N1_LRP110b_LRP111a,23.3240827,91.279166,1187,
N1,1000062,bridge,N1_LRP111a_LRP111b,23.3149444,91.2844719,3.2,0
N1,1000063,link,N1_LRP111b_LRP113a,23.31475,91.2845552,2230,
N1,1000064,bridge,N1_LRP113a_LRP113b,23.296083,91.2914997,4.6,1
N1,1000065,link,N1_LRP113b_LRP119b,23.2959719,91.2915274,5827,
N1,1000066,bridge,N1_LRP119b_LRP119c,23.248333,91.3098056,3.1,1
N1,1000067,link,N1_LRP119c_LRP126a,23.2481663,91.3098889,7140,
N1,1000068,bridge,N1_LRP126a_LRP126b,23.1866941,91.3212493,3.1,1
N1,1000069,link,N1_LRP126b_LRP128a,23.1866108,91.3212771,2140,
N1,1000070,bridge,N1_LRP128a_LRP128b,23.1681382,91.3213604,6.3,1
N1,1000071,link,N1_LRP128b_LRP139b,23.1680549,91.3213604,10588,
N1,1000072,bridge,N1_LRP139b_LRP139c,23.0808049,91.3548611,17,0
N1,1000073,link,N1_LRP139c_LRP151a,23.0806938,91.3549444,11359,
N1,1000074,bridge,N1_LRP151a_LRP151b,22.9961941,91.4005,23,0
N1,1000075,link,N1_LRP151b_LRP156a,22.9960552,91.4006667,5748,
N1,1000076,bridge,N1_LRP156a_LRP156b,22.9624167,91.4416941,109,0
N1,1000077,link,N1_LRP156b_LRP163a,22.9618056,91.4424997,6462,
N1,1000078,bridge,N1_LRP163a_LRP163b,22.9496663,91.5007778,211,0
N1,1000079,link,N1_LRP163b_LRP168a,22.949583,91.5027778,4643,
N1,1000080,bridge,N1_LRP168a_LRP168b,22.9156667,91.5259438,228,0
N1,1000081,link,N1_LRP168b_LRP176a,22.9138056,91.5268604,7655,
N1,1000082,bridge,N1_LRP176a_LRP176b,22.8485274,91.5463886,4.5,0
N1,1000083,link,N1_LRP176b_LRP187a,22.8484441,91.5464163,11793,
N1,1000084,bridge,N1_LRP187a_LRP187b,22.7526389,91.5893608,3,0
N1,1000085,link,N1_LRP187b_LRP204c,22.7525,91.5894719,16557,
N1,1000086,bridge,N1_LRP204c_LRP204d,22.6194993,91.6568889,20,0
N1,1000087,link,N1_LRP204d_LRP209a,22.6180271,91.6578333,4650,
N1,1000088,bridge,N1_LRP209a_LRP209b,22.5836663,91.6784716,10.2,0
N1,1000089,link,N1_LRP209b_LRP210a,22.5834997,91.6785827,1234,
N1,1000090,bridge,N1_LRP210a_LRP210b,22.5731938,91.6830827,3,0
N1,1000091,link,N1_LRP210b_LRP211b,22.5730549,91.6831938,1058,
N1,1000092,bridge,N1_LRP211b_LRP211c,22.5641389,91.6859163,14,0
N1,1000093,link,N1_LRP211c_LRP213a,22.564,91.6859441,1616,
N1,1000094,bridge,N1_LRP213a_LRP213b,22.5503056,91.6902774,3,0
N1,1000095,link,N1_LRP213b_LRP216a,22.5501667,91.6903886,3783,
N1,1000096,bridge,N1_LRP216a_LRP216b,22.519416,91.7053611,18,0
N1,1000097,link,N1_LRP216b_LRP217a,22.51926541,91.70540328,341,
N1,1000098,bridge,N1_LRP217a_LRP217b,22.5165556,91.7065833,34.055,1
N1,1000099,link,N1_LRP217b_LRP217d,22.5161667,91.70675,376,
N1,1000100,bridge,N1_LRP217d_LRP217e,22.5131389,91.7080833,41,0
N1,1000101,link,N1_LRP217e_LRP218a,22.5127778,91.7082222,406,
N1,1000102,bridge,N1_LRP218a_LRP218b,22.5094444,91.7096389,4.5,0
N1,1000103,link,N1_LRP218b_LRP218c,22.5093611,91.7096944,239,
N1,1000104,bridge,N1_LRP218c_LRP218d,22.5074444,91.7105556,18,0
N1,1000105,link,N1_LRP218d_LRP219a,22.5073056,91.7106389,1272,
N1,1000106,bridge,N1_LRP219a_LRP219b,22.4969163,91.7155556,3,1
N1,1000107,link,N1_LRP219b_LRP221b,22.4968052,91.7156389,2255,
N1,1000108,bridge,N1_LRP221b_LRP221c,22.4775271,91.7210549,25,0
N1,1000109,link,N1_LRP221c_LRP224a,22.4773049,91.7211104,2292,
N1,1000110,bridge,N1_LRP224a_LRP224b,22.4588333,91.7303604,3,0
N1,1000111,link,N1_LRP224b_LRP226a,22.4586389,91.7304716,1912,
N1,1000112,bridge,N1_LRP226a_LRP226b,22.4424997,91.7366663,3,0
N1,1000113,link,N1_LRP226b_LRP227b,22.4422219,91.7367497,1373,
N1,1000114,bridge,N1_LRP227b_LRP227c,22.4307493,91.7415274,43,0
N1,1000115,link,N1_LRP227c_LRP229a,22.4304438,91.7417219,1614,
N1,1000116,bridge,N1_LRP229a_LRP229b,22.4185549,91.7504722,38,0
N1,1000117,link,N1_LRP229b_LRP231b,22.4182771,91.7506667,2301,
N1,1000118,bridge,N1_LRP231b_LRP231c,22.3988608,91.7576667,18,0
N1,1000119,link,N1_LRP231c_LRP232c,22.3988052,91.7576667,1116,
N1,1000120,bridge,N1_LRP232c_LRP232d,22.3892497,91.7605,59,0
N1,1000121,link,N1_LRP232d_LRP234a,22.3887497,91.7607222,1750,
N1,1000122,bridge,N1_LRP234a_LRP234b,22.3764716,91.770416,3,0
N1,1000123,link,N1_LRP234b_LRP246a,22.37622549,91.77054327,11066,
N1,1000124,bridge,N1_LRP246a_LRP246b,22.3555,91.8530833,3,0
N1,1000125,link,N1_LRP246b_LRP247a,22.3553889,91.8530556,1464,
N1,1000126,bridge,N1_LRP247a_LRP247b,22.3427219,91.8531389,116.315,1
N1,1000127,link,N1_LRP247b_LRP248a,22.3423608,91.8530833,459,
N1,1000128,bridge,N1_LRP248a_LRP248b,22.33836249,91.85369559,3,1
N1,1000129,link,N1_LRP248b_LRP248c,22.3380274,91.8538889,80,
N1,1000130,bridge,N1_LRP248c_LRP248d,22.3373886,91.8542778,47,0
N1,1000131,link,N1_LRP248d_LRP250a,22.3370274,91.8545278,1954,
N1,1000132,bridge,N1_LRP250a_LRP250b,22.3212771,91.8536111,3,0
N1,1000133,link,N1_LRP250b_LRP265a,22.3153611,91.8553056,14600,
N1,1000134,bridge,N1_LRP265a_LRP265b,22.3010278,91.9641667,9.2,0
N1,1000135,link,N1_LRP265b_LRP269a,22.3009444,91.9646667,3325,
N1,1000136,bridge,N1_LRP269a_LRP269b,22.286583,91.9911108,12.65,1
N1,1000137,link,N1_LRP269b_LRP272a,22.2863052,91.991583,3446,
N1,1000138,bridge,N1_LRP272a_LRP272b,22.2622222,92.0070556,50.6,2
